"FAU","RPL34","CNPPD1","GPX1","SSR4","RPS18","ETS2","EPB41L2","RPS4Y1","TDP2","LEPROTL1","ZMYM2","MVD","DOCK1","HEBP2","PTPN18","PLXNA3","PSEN2","RAB40B","SLC22A5","IPO8","HABP2","RNH1","ADORA3","MAP3K13","206446_s_at","SYCP2","PPEF1","APMAP","HCG4","WNT11","PTH2R","FRMPD1","CUBN","ACRV1","206777_s_at","CRYBB2","ASMT","GAD2","DNAJC4","FGF4","AQP8","206785_s_at","HTN3","BRDT","POU2F1","NDUFB1","PDE4C","PNMT","ERBB4","F2RL2","WISP1","NAT2","DLEC1","SCGB1D2","MTHFR","NPPB","PAX5","PDYN","CD3G","SEMA3A","DGKI","HNRNPA3P1","206809_s_at","ZNF44","PPP1R3A","PAGE1","CASP7","SLC10A1","MITF","RPS2P45","207759_s_at","207915_at","DGKD","208426_x_at","208525_s_at","PPP6R1","SMPD1","211430_s_at","CHD8","212578_x_at","PIAS4","LOC92249","LOC100506963","DOK2","215247_at","216093_at","216636_at","216729_at","ADAM15","ZNF706","MUL1","RMND5B","TMEM134","TSPAN15","EPS8L1","CDKN2AIP","C7orf26","RGS17","CNNM3","KCTD13","controls"
"11.963239","12.796074","7.255139","10.328921","10.339043","13.187474","8.803124","7.753833","11.487232","8.662342","7.666","4.920531","5.976403","7.128785","8.607894","7.128315","5.344938","5.401421","5.917623","6.558443","4.439654","3.985201","6.415268","4.27155","4.043806","3.345988","3.498868","3.188132","8.682799","3.936916","5.384203","3.41658","3.919242","3.809396","4.067278","5.970256","5.041802","3.559358","3.608578","4.979504","5.213429","3.815833","3.721699","3.205796","3.151578","5.850904","10.884895","7.014079","5.615092","5.145643","3.461492","3.982363","4.324354","4.960688","3.655987","4.736749","4.398906","4.782444","3.876145","4.241963","4.546632","3.663403","3.144133","7.79323","5.074114","3.139281","3.50618","7.926817","4.824764","7.663263","3.514964","3.400686","4.495564","8.046483","3.84634","3.518885","6.261987","5.541","10.830195","7.322234","12.911183","5.408236","4.766407","5.962819","7.890237","4.296198","3.106434","3.530733","3.812259","5.057355","9.147449","7.635997","6.808923","6.922712","7.841394","5.685697","5.311588","6.253947","3.393514","6.607722","5.273601","0"
"11.871765","12.53105","6.706776","11.262925","10.97865","13.508342","8.515072","7.348193","11.564294","8.767782","7.957914","5.187917","5.426111","6.416601","8.712704","7.432821","4.656205","5.229828","5.418016","5.43803","5.095867","3.854612","6.256275","5.469498","4.08545","3.669623","3.564915","3.545876","8.832227","4.114944","4.814945","3.308456","3.779571","3.983122","4.058789","7.046724","5.004689","3.685734","3.473932","5.344472","5.578506","3.992796","4.828279","3.126605","3.011776","5.86973","10.808709","6.825752","5.789458","4.544995","3.117075","4.920834","4.072002","4.99654","3.422561","4.836328","4.228584","4.412224","3.753176","4.2787","4.704222","3.398313","3.123977","7.313081","4.647503","3.055802","3.800396","7.579428","4.258604","7.26236","3.468501","3.321327","4.267595","7.416006","3.709797","3.582438","6.291321","5.54421","12.435512","6.863304","12.923441","5.027606","4.614243","5.009965","7.551403","4.441408","3.543343","3.291383","3.546573","5.193249","9.099684","7.582168","6.330408","6.657524","7.103973","5.211931","5.408419","5.851919","3.63067","6.486807","4.659732","1"
"11.733229","12.53105","6.360143","10.980888","10.871313","13.272497","9.201755","7.783858","11.657816","9.306002","8.055493","6.083925","5.068673","6.208807","8.853652","7.057849","4.631695","5.139562","5.506667","5.763326","6.024415","3.872401","6.372333","5.732414","4.448434","3.710548","3.428868","3.628577","8.667337","3.814788","4.93209","3.121334","3.596569","3.878498","4.010666","6.069744","4.653411","3.488519","3.542542","4.670266","5.332674","3.845267","4.425154","3.074985","3.381593","5.621092","10.907842","6.587","5.970827","4.409898","3.276177","4.895152","3.852828","4.930493","3.336425","4.824566","4.501769","4.500229","3.466529","4.301261","4.724695","3.569267","3.029762","8.754451","4.747696","2.983083","3.878657","7.312041","4.336147","7.359507","3.325138","3.106084","4.124614","7.538463","4.025496","3.242346","5.999903","5.338315","8.605915","6.435355","12.828385","4.958101","4.617397","5.511863","6.952706","4.226066","3.286844","3.326427","3.353258","5.312456","9.030393","7.375736","6.392901","6.690383","6.688794","5.074911","6.034884","5.762595","3.372596","6.335932","4.537932","1"
"11.972335","12.521891","6.819268","11.078106","10.876854","13.19792","8.879708","8.132736","11.759582","9.062678","7.928323","5.051581","5.411904","6.338259","8.89231","7.419687","4.898112","5.276376","6.159315","5.869421","5.525201","3.567813","6.349794","5.347396","4.717941","3.702412","3.429296","3.813104","8.656604","3.657872","5.308911","3.247023","4.118786","3.699229","4.018059","5.677506","5.043798","3.480943","3.590728","5.123256","5.476106","4.2024","5.221913","3.201188","3.320848","6.331239","10.944889","6.853627","6.950738","4.439785","3.119582","3.958495","3.996917","5.474461","3.461492","5.18284","4.685268","4.603242","3.586326","4.548489","4.83345","3.678544","3.182141","7.515601","5.089997","3.043421","3.930779","7.618256","4.349357","7.356406","3.414461","3.128515","4.009502","8.042031","3.90813","3.381378","6.375157","5.72343","9.629336","6.50241","12.768643","5.056432","4.812169","5.542416","7.671254","4.206988","3.40572","3.488586","3.723384","5.263693","9.102694","7.581254","6.59066","6.89606","6.968051","5.469764","5.92938","5.875337","3.37025","6.284342","4.498649","1"
"11.902396","12.694889","7.001494","11.39261","10.472874","13.253095","8.01171","7.125152","5.231582","9.269954","8.321448","5.47004","5.242554","6.963299","8.627318","7.484957","5.292455","5.483948","5.764981","6.444728","4.651827","4.845759","6.184087","6.839076","4.48268","3.207686","3.464612","3.144015","8.968386","4.489402","4.924657","3.350215","3.904673","3.951987","4.057284","4.504202","4.615657","3.621245","3.515349","5.230058","5.551647","3.959848","5.534509","3.191029","3.60058","6.12095","10.983697","6.979057","5.364215","5.453502","3.138427","3.968157","3.957321","4.850187","3.453628","4.808092","4.340201","4.575086","3.358172","4.585134","4.208267","3.900025","3.0072","7.427972","5.043559","2.951315","3.444544","7.743001","4.490563","7.774222","3.694131","3.423424","3.759802","8.386471","3.965784","3.410909","6.547019","5.211277","11.036105","7.19468","12.828385","5.266751","4.732982","6.031359","8.301197","4.42103","3.24825","3.241539","3.313474","4.513071","9.364834","7.398453","6.802232","6.924004","7.595118","5.66383","5.799078","6.102403","3.705468","6.95141","5.18101","0"
"11.834838","12.483968","6.688264","10.808709","10.411847","13.19792","9.313327","8.452897","11.31245","8.897704","7.587152","5.972498","5.391496","6.500373","8.491912","7.18185","4.649701","5.227219","5.660867","5.749383","5.471003","3.920384","6.235372","6.272596","4.686996","3.527795","3.612328","3.516164","8.648435","4.245585","5.079735","3.233649","3.76334","3.892468","4.074348","4.741171","4.638264","3.463232","3.519765","4.926282","5.413906","4.133439","4.320871","2.908047","3.236072","6.244683","10.777102","6.823937","5.929714","4.658374","3.202812","4.269021","3.973878","4.795484","3.31881","4.644739","4.16614","4.494804","3.709586","4.151961","4.761711","3.519069","3.139065","7.772343","5.133858","3.054958","3.758806","7.317933","4.581685","7.409972","3.444731","3.373823","4.00718","7.879539","3.801811","3.391428","6.409632","5.671178","11.047364","7.117275","12.768643","5.124637","4.4543","5.268719","7.193697","4.004869","3.397856","3.246568","3.640717","5.073248","9.141764","7.636704","6.732473","6.560126","6.752811","5.144018","5.468921","6.022539","3.354199","6.751814","4.926092","1"
"11.759582","12.507809","6.923371","10.646318","10.340745","13.217192","8.583299","7.767674","11.1539","8.832819","7.633536","5.109942","6.055746","6.547662","8.500632","6.904668","4.892759","5.196608","5.430695","5.964912","4.89731","3.869284","6.258161","4.954815","4.043901","3.403913","3.496306","3.409487","8.503649","3.916509","5.060033","3.201514","3.676102","3.860701","4.006106","5.799078","4.801609","3.37604","3.465942","5.001895","5.559971","4.085423","3.722427","3.222661","3.266271","5.931274","10.803598","6.874443","5.254892","4.317997","3.263444","5.230819","4.121433","4.770727","3.545443","4.748731","4.42629","4.458728","3.795129","5.02648","4.404272","3.783673","3.117335","8.129152","5.057252","3.16169","3.592418","7.69318","4.592201","7.439099","3.330008","3.36738","4.02804","8.092238","3.988247","3.285596","6.168734","5.531152","11.507882","7.449055","12.734808","5.075063","4.448797","4.955942","7.531284","4.248072","3.330892","3.471725","3.484964","5.334511","9.231983","7.357723","6.29352","6.653656","6.733508","5.136464","6.081902","5.956118","3.541839","6.591784","5.117535","1"
"11.972335","12.396865","6.972369","11.080495","10.794245","13.094557","9.152732","7.807261","6.164839","8.755384","7.830535","5.022162","5.268719","6.468575","9.140475","7.463985","5.241323","5.544855","5.825535","6.118447","4.951156","3.767736","6.488684","5.458213","4.326417","3.515859","3.29618","3.517244","8.864732","4.031808","5.260443","3.477369","3.691093","4.242434","4.26256","5.41285","4.340896","3.600218","3.845662","4.87511","5.225382","3.979231","3.676268","3.261831","3.173873","5.699928","11.269223","6.577722","6.345812","4.28394","3.305792","4.860842","4.213129","4.790554","3.546727","4.850705","4.171868","4.373105","3.728472","4.072002","4.618383","3.716806","2.953363","7.898038","4.839083","3.163232","3.60968","7.622183","4.625057","7.405334","3.289594","3.250675","4.194835","8.071076","4.059119","3.510615","6.283156","5.767104","10.904867","6.459646","12.87003","5.226903","4.797702","5.700315","7.694168","4.182435","3.473641","3.480251","3.397229","5.191446","9.190414","8.029176","7.254877","7.186373","6.714748","5.083924","5.685515","5.97789","3.614854","6.499222","4.900587","1"
"11.954979","12.369717","7.080669","11.407377","11.377843","13.295608","8.460912","6.524857","11.982093","8.614983","7.895834","4.688087","5.872663","5.61907","9.666603","7.767918","5.053828","5.438301","6.380673","5.862623","4.46031","4.023703","6.656582","6.576559","4.028126","3.400015","3.162084","3.570443","9.063391","4.594816","5.266568","3.329593","3.561281","3.994932","4.259476","5.232798","4.751263","3.528786","3.719666","5.014012","5.328264","3.672572","4.184535","3.175825","3.440033","5.941913","11.483399","6.608868","5.640086","3.930102","3.212123","4.713485","4.781543","4.964532","3.583277","4.831032","4.603353","4.528404","3.682103","4.533848","4.491784","3.483832","3.084016","7.700523","4.657026","3.194812","3.557487","7.390884","4.937935","7.237118","3.272388","3.203031","4.555425","8.001403","4.256702","3.547585","6.502558","6.109275","10.992944","6.098517","13.02917","5.354369","4.810713","6.225775","7.948124","4.611587","3.199881","3.313005","3.3512","6.065869","9.306894","7.938006","6.819633","7.558217","7.309222","5.47511","5.217647","5.904156","3.697074","6.789819","5.183339","0"
"11.786787","12.642906","6.639125","11.033265","10.65643","12.99757","9.340869","8.741613","6.686149","9.108595","8.022006","6.495974","5.095615","6.570602","8.723572","6.880981","4.752764","5.506957","5.499322","5.566634","5.772199","3.934183","6.361863","4.796948","4.714797","3.76669","3.409284","3.56288","8.561277","3.625904","5.200728","3.288014","3.578051","3.939108","4.070308","5.533296","4.809947","3.601761","3.591522","4.759159","5.204522","3.947318","4.272628","3.128515","3.158468","6.221181","11.181697","6.746023","5.432072","4.758398","3.129106","4.395014","4.021482","4.728894","3.354419","4.751642","4.333971","4.373371","3.710027","4.567158","4.998324","3.465047","3.086216","8.70267","5.335481","3.034394","3.627141","7.696884","4.428433","7.591597","3.587442","3.168385","4.141585","7.717769","3.907069","3.253635","6.010505","5.485673","11.156547","6.563414","12.688588","4.901498","4.706768","5.489128","7.38444","4.490786","3.295719","3.321327","3.393514","5.167314","9.046858","7.477612","6.611715","6.811794","6.955874","5.103957","6.295604","5.819004","3.537062","6.29101","4.610385","1"
