@relation lung-qn-numeric-control-nominal-bottom-random-training-top25

@attribute CNPPD1 numeric
@attribute GPX1 numeric
@attribute EPB41L2 numeric
@attribute RPS4Y1 numeric
@attribute HEBP2 numeric
@attribute PTPN18 numeric
@attribute PLXNA3 numeric
@attribute PSEN2 numeric
@attribute SLC22A5 numeric
@attribute HABP2 numeric
@attribute RNH1 numeric
@attribute 206446_s_at numeric
@attribute PAGE1 numeric
@attribute 208525_s_at numeric
@attribute CHD8 numeric
@attribute PIAS4 numeric
@attribute LOC92249 numeric
@attribute LOC100506963 numeric
@attribute DOK2 numeric
@attribute 215247_at numeric
@attribute 216093_at numeric
@attribute ADAM15 numeric
@attribute ZNF706 numeric
@attribute TMEM134 numeric
@attribute TSPAN15 numeric
@attribute CDKN2AIP numeric
@attribute controls {0,1}

@data
6.412717,11.262925,8.598903,11.369155,7.761807,7.213143,4.786952,5.096407,6.175564,3.737383,6.413909,3.885483,3.611747,3.27191,6.52529,4.932314,4.538111,4.940936,7.148247,4.479368,3.353922,5.262039,9.205294,6.758303,6.736421,5.893255,1
6.600872,11.078106,7.859647,11.568139,8.822398,7.342521,4.839874,5.292337,5.733021,3.654188,6.311907,3.798689,4.397789,3.383252,6.762989,5.107341,4.541802,5.287722,7.348496,4.205304,3.348177,5.226752,8.808805,6.738151,6.98032,5.916463,1
6.743009,11.147496,8.633302,5.620169,8.901893,7.300233,4.849795,5.189235,5.490701,3.87645,6.376339,3.565234,3.84165,3.370823,6.609967,5.02704,4.716335,5.769662,7.259617,4.46031,3.235578,5.263693,9.128016,6.540751,6.865221,5.724608,1
6.805271,11.033265,7.87318,11.429179,8.870012,7.281347,5.159182,5.251412,5.733617,3.758591,6.107627,3.480876,3.785015,3.464799,7.264367,5.13176,4.529631,5.650202,7.716139,4.0532,3.220863,4.857768,9.163135,7.246114,7.291189,5.936054,1
7.213927,11.507882,7.22237,11.786787,9.246319,7.793224,5.61907,5.384463,6.35225,4.355789,6.717307,3.294919,3.306242,3.52229,6.382115,5.273808,4.897105,6.08952,8.107847,4.648393,3.138427,5.43876,9.306894,7.494605,8.159484,5.394902,0
6.590142,11.086936,8.35297,11.598533,9.215948,7.171685,4.639216,5.334935,5.682575,3.981685,6.179939,3.856502,3.919041,3.445852,6.586102,5.145148,4.87469,5.278312,6.715117,4.361164,3.167443,5.042753,9.053529,6.552429,6.872189,5.893981,0
6.847847,10.929441,8.255775,11.712822,8.428547,6.935112,4.918208,5.227768,5.406272,3.77647,5.838786,3.910731,3.76958,3.315494,6.942531,4.806147,4.548448,5.895144,7.34148,4.528189,3.515165,4.984367,9.152702,6.855518,7.165164,6.212114,1
6.587237,11.185585,8.056472,11.612927,9.036706,7.236106,4.921968,5.218873,5.523619,3.767736,6.189565,3.554831,4.218011,3.288598,6.607098,4.965125,4.692305,5.095374,7.321975,4.338269,3.681036,4.97871,8.855006,6.510338,7.090911,6.105997,1
6.674373,11.099085,7.834726,11.571515,8.89655,7.251898,4.973677,5.25834,5.661771,3.872231,6.269663,3.43191,3.691093,3.613308,6.895762,5.078732,4.493495,5.428818,7.012702,4.444702,3.432255,5.19853,8.958938,6.830094,7.079092,5.627979,1
6.597105,11.10252,7.310933,11.621465,9.028721,7.319875,4.803643,5.125211,5.418303,3.681671,6.359778,3.493308,3.794536,3.368497,6.595177,5.167375,4.799917,5.208443,7.095213,4.428216,3.293253,5.496381,8.883696,6.557423,6.13758,5.943142,1
6.435122,11.192902,8.041756,11.560654,9.06608,7.443184,4.509876,5.391105,5.56558,3.866994,6.345565,3.552399,3.768592,3.395713,6.936867,4.580479,4.582305,5.221913,7.74267,3.935126,3.433972,5.109681,9.24103,6.733147,6.816581,5.489822,1
6.58143,11.162779,8.07598,11.798676,9.014141,6.870365,4.910285,5.371375,5.827887,4.027633,6.337044,3.689265,3.816533,3.474049,6.431382,5.028706,4.768335,5.213971,6.846379,4.533315,3.414545,5.466149,8.934743,6.921879,6.976377,5.663526,0
6.464996,11.216258,8.013596,6.225506,8.728012,7.271744,4.578076,5.16851,5.487128,3.861907,6.175963,3.684358,4.035344,3.310514,6.483315,4.840354,4.594357,5.469252,7.360044,4.338075,3.460277,4.998324,9.268405,6.593474,6.474962,5.849339,1
6.847388,10.910563,7.624894,5.860451,9.071566,6.918997,4.979823,5.290884,5.343528,3.899716,6.411682,3.647839,4.268239,3.438758,6.66564,5.145261,4.717324,5.444558,6.813604,4.318592,3.436858,5.207504,8.858376,6.833479,6.958628,6.167634,1
6.563771,11.29862,7.762201,11.854154,8.981818,7.462476,4.70872,5.605618,5.682742,3.747296,6.531533,3.94193,3.854612,3.475383,6.410657,5.014565,4.84702,5.474409,7.096848,4.438527,3.621468,5.643932,9.284026,7.16105,7.072024,5.551865,0
6.466649,11.131595,7.718415,11.575834,8.9444,7.111772,4.91057,5.399416,5.739747,3.962522,6.285717,3.611919,3.944994,3.352997,6.601334,5.074508,4.630787,5.277722,7.382263,4.309027,3.376578,5.318272,9.109424,6.63009,6.804622,6.007407,1
6.283759,10.721945,8.501071,11.407377,8.646199,6.95132,5.072385,5.088145,6.004838,3.944994,6.254805,3.944791,3.764144,3.315017,6.628049,4.816133,4.558088,5.385666,6.943303,4.214043,3.313474,5.175829,9.087571,6.563728,6.343492,5.772199,1
6.760452,10.58829,8.225936,11.644611,8.648924,7.039507,4.38997,5.173103,5.576433,3.871513,6.149876,3.757118,4.470285,3.358395,6.765509,5.115042,4.625932,4.921968,6.851022,4.206136,3.484964,5.03732,8.843855,6.547662,6.341057,5.769974,1
6.699862,10.842198,8.292209,6.174604,9.1951,6.982982,4.676243,5.20325,5.565913,3.966586,6.519497,3.921596,3.892468,3.534749,6.808628,5.460082,4.764663,5.18037,7.096156,4.561021,3.319019,5.430503,8.76999,6.82287,6.755016,5.147043,0
